"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.237298583E0,-9.824519806E0,6.891968079E0,3.217708740E0,1.242473593E1
1.247355583E0,-9.897867279E0,6.882837067E0,2.530338135E0,1.231843472E1
1.257411583E0,-1.006282425E1,6.809938660E0,2.598895569E0,1.242537543E1
1.267468583E0,-1.053913376E1,6.735992432E0,2.779420166E0,1.281296651E1
1.277525583E0,-1.057940002E1,6.520290985E0,2.530787201E0,1.268238082E1
1.287582583E0,-1.059092606E1,6.148464203E0,2.094444580E0,1.242409050E1
1.297639583E0,-1.091215805E1,5.619464264E0,1.738185425E0,1.239656648E1
1.307696583E0,-1.010069550E1,5.961802368E0,1.653760986E0,1.184491715E1
1.317753583E0,-9.712552643E0,5.822741547E0,1.840722198E0,1.147284865E1
1.327810583E0,-9.951904907E0,5.478307800E0,2.045047302E0,1.154272438E1
1.337867583E0,-9.625882874E0,5.322481842E0,1.995500336E0,1.117892909E1
1.347923583E0,-9.046138458E0,5.190905457E0,1.565893707E0,1.054657023E1
1.357980583E0,-8.740623779E0,4.982538757E0,1.479822693E0,1.016927095E1
1.368037750E0,-8.202642517E0,4.719236298E0,1.579814758E0,9.594287371E0
1.378094750E0,-7.770341492E0,4.480931854E0,1.492845612E0,9.093159253E0
1.388151750E0,-7.483388214E0,4.235442352E0,1.027912445E0,8.660062071E0
1.398208750E0,-7.108268280E0,3.925736389E0,6.083349609E-1,8.143031104E0
1.408265750E0,-7.391778717E0,3.815266113E0,4.415817261E-1,8.330044570E0
1.418322750E0,-7.691156158E0,4.265230408E0,3.457809448E-2,8.794729622E0
1.428379750E0,-7.437433777E0,4.272565155E0,-1.652563477E-1,8.578901086E0
1.438436750E0,-7.293133850E0,3.933071136E0,-5.595364380E-1,8.304934133E0
1.448492750E0,-7.302863617E0,3.584895172E0,-6.191125488E-1,8.158835134E0
1.458549750E0,-7.928562469E0,4.265529785E0,-3.977229309E-1,9.011938233E0
1.468606750E0,-7.446714478E0,4.752018127E0,5.059478760E-1,8.848232368E0
1.478663750E0,-6.841373291E0,5.062322845E0,5.062472534E-1,8.525713306E0
1.488720750E0,-5.602100372E0,6.229745178E0,-8.301736450E-1,8.419171090E0
1.498777750E0,-4.620890808E0,7.016060028E0,-2.008972321E0,8.637922202E0
1.508834750E0,-4.910239105E0,5.875282288E0,-2.809657288E0,8.156197895E0
1.518891750E0,-5.723647614E0,4.449048157E0,-3.009342041E0,7.849223594E0
1.528948750E0,-6.185886383E0,4.089944916E0,-2.232607269E0,7.744506116E0
1.539005750E0,-6.471342773E0,4.704417114E0,-1.455423431E0,8.131917058E0
1.549061750E0,-7.025789795E0,5.406457214E0,-5.266049194E-1,8.880811595E0
1.559118750E0,-7.571704559E0,5.222639465E0,1.279838562E-1,9.199078910E0
1.569175750E0,-7.523654480E0,4.835245056E0,4.617897034E-1,8.955345957E0
1.579232750E0,-7.386240234E0,4.230652313E0,1.613644409E0,8.663648889E0
1.589289750E0,-7.437882843E0,4.320465546E0,2.695594482E0,9.014141852E0
1.599346750E0,-7.832612000E0,4.095184021E0,3.249592438E0,9.417016189E0
1.609403750E0,-7.820187836E0,4.128564606E0,2.983296204E0,9.332761635E0
1.619460750E0,-7.596253510E0,4.191134491E0,2.396366730E0,9.000624934E0
1.629517750E0,-7.517966309E0,4.043990479E0,1.531315613E0,8.672865957E0
1.639573750E0,-8.117769012E0,2.862347717E0,7.125183105E-1,8.637064926E0
1.649630750E0,-7.620802460E0,4.277953949E0,4.673281860E-1,8.751909263E0
1.659687750E0,-7.602839813E0,4.895719299E0,-2.546205139E-1,9.046329216E0
1.669744750E0,-7.649542694E0,4.898264008E0,-5.001100159E-1,9.097175592E0
1.679801750E0,-7.163952484E0,5.297483826E0,2.177970886E-1,8.912518480E0
1.689858750E0,-6.758595428E0,6.179150391E0,8.354127502E-1,9.195565571E0
1.699915750E0,-6.752607880E0,6.166277161E0,5.418731689E-1,9.160475628E0
1.709972750E0,-6.602470093E0,7.247329102E0,5.478607178E-1,9.819192523E0
1.720029750E0,-6.420897675E0,8.117319946E0,8.958869934E-1,1.038852365E1
1.730086750E0,-6.543792114E0,7.836803284E0,2.868035889E-1,1.021366522E1
1.740142750E0,-6.549330597E0,7.362739105E0,-5.116360474E-1,9.867392251E0
1.750199750E0,-6.274801483E0,7.234605560E0,-3.679348755E-1,9.583737650E0
1.760256750E0,-6.668333130E0,6.509214020E0,2.254312134E-1,9.321338590E0
1.770313750E0,-7.303312683E0,4.999004517E0,6.029461670E-1,8.870849248E0
